,Identifier,SMILES,InChI,InChIKey,CompoundName,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic
0,CNP0021804,OC1CCC23CC43CCC5(C)C(CCC5(C)C4CCC2C1C)C(C)CCC(=CC)C(C)C,"InChI=1S/C31H52O/c1-8-23(20(2)3)10-9-21(4)24-13-15-29(7)27-12-11-25-22(5)26(32)14-16-30(25)19-31(27,30)18-17-28(24,29)6/h8,20-22,24-27,32H,9-19H2,1-7H3",BHLIFYSVSGTVMZ-UHFFFAOYSA-N,CNP0021804,440.753,8.3927,-6.999,1,1,343.38,0.03815,20.23,-5.852,none,none
1,CNP0068122,OC1CCC23CC43CCC5(C)C(CCC5(C)C4CCC2C1C)C(C=CC(CC)C(C)C)C,"InChI=1S/C31H52O/c1-8-23(20(2)3)10-9-21(4)24-13-15-29(7)27-12-11-25-22(5)26(32)14-16-30(25)19-31(27,30)18-17-28(24,29)6/h9-10,20-27,32H,8,11-19H2,1-7H3",DZYLEXLFGRVCHE-UHFFFAOYSA-N,CNP0068122,440.753,8.0046,-7.035,1,1,343.91,0.038091,20.23,1.5422,none,none
2,CNP0123604,OC1CCC23CC43CCC5(C)C(CCC5(C)C4CCC2C1C)C(C)CCC(C(=C)C)CC,"InChI=1S/C31H52O/c1-8-23(20(2)3)10-9-21(4)24-13-15-29(7)27-12-11-25-22(5)26(32)14-16-30(25)19-31(27,30)18-17-28(24,29)6/h21-27,32H,2,8-19H2,1,3-7H3",IGSHUKWRIPUVMM-UHFFFAOYSA-N,CNP0123604,440.753,8.4594,-7.166,1,1,342.92,0.038201,20.23,-18.331,none,none
3,CNP0203953,OC1CCC23CC43CCC5(C)C(C(=C)CCC(CC)C(C)C)CCC5(C)C4CCC2C1C,"InChI=1S/C31H52O/c1-8-23(20(2)3)10-9-21(4)24-13-15-29(7)27-12-11-25-22(5)26(32)14-16-30(25)19-31(27,30)18-17-28(24,29)6/h20,22-27,32H,4,8-19H2,1-3,5-7H3",MZJZIPJMIJVQMH-UHFFFAOYSA-N,CNP0203953,440.753,8.4594,-7.166,1,1,342.92,0.038201,20.23,-4.0685,none,none
4,CNP0001568,OC1CCC23CC43CCC5(C)C(C(=C)CCC(C)(C)C(C)C)CCC5(C)C4CCC2C1C,"InChI=1S/C31H52O/c1-20(2)27(5,6)14-11-21(3)23-12-15-29(8)26-10-9-24-22(4)25(32)13-16-30(24)19-31(26,30)18-17-28(23,29)7/h20,22-26,32H,3,9-19H2,1-2,4-8H3",ACLLDPSXMDMUJV-UHFFFAOYSA-N,CNP0001568,440.753,8.5708,-7.073,1,1,339.33,0.038605,20.23,-9.7934,none,none
5,CNP0127943,OC1CCC23CC43CCC5(C)C(CCCC5(C)C4CCC2C1C)C(C)CCC(=C)C(C)C,"InChI=1S/C31H52O/c1-20(2)21(3)10-11-22(4)24-9-8-15-29(7)27-13-12-25-23(5)26(32)14-16-30(25)19-31(27,30)18-17-28(24,29)6/h20,22-27,32H,3,8-19H2,1-2,4-7H3",INMUZOBPSGXABB-UHFFFAOYSA-N,CNP0127943,440.753,8.347000000000001,-7.166,1,1,342.92,0.038201,20.23,-9.5125,none,none
6,CNP0063659,OC1CCC2(C)C(CCC3C4CCC(C(C)C5CC5(C)C(C)C(C)C)C4(C)CCC32)C1C,"InChI=1S/C31H54O/c1-18(2)21(5)31(8)17-27(31)19(3)23-11-12-25-22-9-10-24-20(4)28(32)14-16-30(24,7)26(22)13-15-29(23,25)6/h18-28,32H,9-17H2,1-8H3",DTCQUTPEWSXONS-UHFFFAOYSA-N,CNP0063659,442.769,7.7847,-7.136,1,1,343.0,0.038192,20.23,-1.6471,none,none
7,CNP0258225,OC1CCC2C(C)(CCC3C2(C)CCC4(C)C3(C)CCC5(C)CCC(C)(C)CC54C)C1C,"InChI=1S/C31H54O/c1-21-22(32)10-11-23-27(21,5)13-12-24-28(23,6)17-19-30(8)29(24,7)18-16-26(4)15-14-25(2,3)20-31(26,30)9/h21-24,32H,10-20H2,1-9H3",QELVHYLVQIULKH-UHFFFAOYSA-N,CNP0258225,442.769,7.7766,-7.0939999999999985,1,1,336.92,0.038882,20.23,-2.8775,none,none
8,CNP0141017,OC1CCC2(C)C3CCC4(C)C5CC(C)(C)CCC5(C)CCC4(C)C3(C)CCC2(C)C1C,"InChI=1S/C31H54O/c1-21-22(32)10-12-28(6)23-11-13-29(7)24-20-25(2,3)14-15-26(24,4)16-19-31(29,9)30(23,8)18-17-27(21,28)5/h21-24,32H,10-20H2,1-9H3",JHLDBKCNUQOVTA-UHFFFAOYSA-N,CNP0141017,442.769,7.7766,-7.0939999999999985,1,1,336.92,0.038882,20.23,-2.8243,none,none
9,CNP0408791,OC1C(=C)C2CCC3(C)C(CC=C4C5C(C)C(C)CCC5(C(=C)C)CCC43C)C2(C)CC1,"InChI=1S/C31H48O/c1-19(2)31-16-11-20(3)21(4)27(31)24-9-10-26-28(6)14-13-25(32)22(5)23(28)12-15-30(26,8)29(24,7)17-18-31/h9,20-21,23,25-27,32H,1,5,10-18H2,2-4,6-8H3",ZTTWSILEGFVQPN-UHFFFAOYSA-N,CNP0408791,436.721,7.796,-6.695,1,1,336.6,0.038919,20.23,-16.085,none,none
10,CNP0345754,OC1CC2(C)C(CCC3C4(C)CCC(C)C(C)(C)C4CCC32C)C5C(C(=C)C)CCC15C,"InChI=1S/C31H52O/c1-19(2)21-13-16-29(7)25(32)18-31(9)22(26(21)29)10-11-24-28(6)15-12-20(3)27(4,5)23(28)14-17-30(24,31)8/h20-26,32H,1,10-18H2,2-9H3",WBOUFJRGGBOHEX-UHFFFAOYSA-N,CNP0345754,440.753,7.9162,-6.962999999999999,1,1,336.57,0.038922000000000005,20.23,-22.32,none,none
